縣市別,性別,年齡,婚姻狀況,教育程度,人口數
屏東縣,男,30~39,未婚,碩士以上,2899
屏東縣,男,30~39,未婚,高中及以下,13998
屏東縣,男,30~39,非未婚,大學及專科,9741
屏東縣,男,30~39,非未婚,碩士以上,1661
屏東縣,男,30~39,非未婚,高中及以下,11709
屏東縣,男,40~49,未婚,大學及專科,6696
屏東縣,男,40~49,未婚,碩士以上,1143
屏東縣,男,40~49,未婚,高中及以下,12938
屏東縣,男,40~49,非未婚,大學及專科,13506
屏東縣,男,40~49,非未婚,碩士以上,3097
屏東縣,男,40~49,非未婚,高中及以下,25035
屏東縣,男,50~59,未婚,大學及專科,2050
屏東縣,男,50~59,未婚,碩士以上,332
屏東縣,男,50~59,未婚,高中及以下,7571
屏東縣,男,50~59,非未婚,大學及專科,13208
屏東縣,男,50~59,非未婚,碩士以上,2876
屏東縣,男,50~59,非未婚,高中及以下,36315
屏東縣,男,60~69,未婚,大學及專科,587
屏東縣,男,60~69,未婚,碩士以上,59
屏東縣,男,60~69,未婚,高中及以下,3339
屏東縣,男,60~69,非未婚,大學及專科,10560
屏東縣,男,60~69,非未婚,碩士以上,1554
屏東縣,男,60~69,非未婚,高中及以下,34947
彰化縣,女,15~19,未婚,大學及專科,0
彰化縣,女,15~19,未婚,碩士以上,0
彰化縣,女,15~19,未婚,高中及以下,25414
彰化縣,女,15~19,非未婚,大學及專科,0
彰化縣,女,15~19,非未婚,碩士以上,0
彰化縣,女,15~19,非未婚,高中及以下,115
彰化縣,女,20~29,未婚,大學及專科,38408
彰化縣,女,20~29,未婚,碩士以上,2664
彰化縣,女,20~29,未婚,高中及以下,24396
彰化縣,女,20~29,非未婚,大學及專科,5651
彰化縣,女,20~29,非未婚,碩士以上,198
彰化縣,女,20~29,非未婚,高中及以下,6145
彰化縣,女,30~39,未婚,大學及專科,23425
彰化縣,女,30~39,未婚,碩士以上,3496
彰化縣,女,30~39,未婚,高中及以下,6945
彰化縣,女,30~39,非未婚,大學及專科,28987
彰化縣,女,30~39,非未婚,碩士以上,2784
彰化縣,女,30~39,非未婚,高中及以下,16948
彰化縣,女,40~49,未婚,大學及專科,11098
